                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.5193,                 1.0117,                0.97567,                0.47845,                0.62465,                0.50701,                0.25083,                      0,                    inf,                      0,                0.00822,                0.00822,                0.00822
                     57,                 1.4992,                0.99542,                0.97855,                0.50364,                0.64986,                0.53222,                0.25637,                      0,                    inf,                      0,               0.007824,               0.007824,               0.007824
                     58,                 1.4934,                0.97815,                0.97206,                0.49525,                0.59702,                0.50889,                0.24436,                      0,                    inf,                      0,               0.007428,               0.007428,               0.007428
                     59,                 1.5038,                0.97726,                0.97868,                0.50477,                 0.6226,                0.50914,                0.24707,                      0,                    inf,                      0,               0.007032,               0.007032,               0.007032
                     60,                 1.4737,                0.95953,                0.96361,                0.49435,                0.62801,                0.50812,                0.24309,                      0,                    inf,                      0,               0.006636,               0.006636,               0.006636
                     61,                 1.4868,                0.97476,                0.97367,                0.48557,                0.63211,                0.50079,                0.24687,                      0,                    inf,                      0,                0.00624,                0.00624,                0.00624
                     62,                  1.458,                 0.9219,                0.96585,                0.47357,                0.65855,                0.50456,                0.24476,                      0,                    inf,                      0,               0.005844,               0.005844,               0.005844
                     63,                 1.4518,                0.93089,                 0.9613,                0.50294,                0.59474,                0.49802,                 0.2419,                      0,                    inf,                      0,               0.005448,               0.005448,               0.005448
                     64,                 1.4373,                0.91662,                0.96191,                0.49442,                0.63144,                0.48892,                 0.2386,                      0,                    inf,                      0,               0.005052,               0.005052,               0.005052
                     65,                 1.3909,                0.86345,                0.98148,                 0.4673,                0.64122,                0.48001,                0.23637,                      0,                    inf,                      0,               0.004656,               0.004656,               0.004656
                     66,                 1.3932,                0.86155,                0.98197,                 0.4899,                 0.6256,                0.48925,                0.24274,                      0,                    inf,                      0,                0.00426,                0.00426,                0.00426
                     67,                 1.3561,                0.84556,                 0.9698,                0.49208,                 0.6224,                0.49199,                0.24408,                      0,                    inf,                      0,               0.003864,               0.003864,               0.003864
                     68,                 1.3583,                0.82325,                0.96367,                0.47542,                0.62602,                0.48589,                0.24158,                      0,                    inf,                      0,               0.003468,               0.003468,               0.003468
                     69,                 1.3362,                0.81077,                0.96011,                0.49941,                0.60852,                0.49378,                0.24359,                      0,                    inf,                      0,               0.003072,               0.003072,               0.003072
                     70,                 1.3118,                0.79803,                0.95386,                0.50801,                0.61589,                 0.4902,                0.24442,                      0,                    inf,                      0,               0.002676,               0.002676,               0.002676
                     71,                 1.3225,                0.78217,                0.96096,                0.49317,                0.62751,                0.48434,                0.24059,                      0,                    inf,                      0,                0.00228,                0.00228,                0.00228
                     72,                 1.2949,                0.76349,                0.94905,                0.49466,                0.61435,                0.48242,                   0.24,                      0,                    inf,                      0,               0.001884,               0.001884,               0.001884
                     73,                 1.3063,                0.75472,                0.95115,                0.51212,                0.58446,                0.48363,                0.23988,                      0,                    inf,                      0,               0.001488,               0.001488,               0.001488
                     74,                 1.2964,                0.74686,                0.95426,                0.48208,                0.62128,                0.47944,                0.23911,                      0,                    inf,                      0,               0.001092,               0.001092,               0.001092
